CRASH_DATE,CRASH_TIME,BOROUGH,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,VEHICLE_TYPE
2020-07-03,11:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 3
2020-02-05,17:40:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 1
2020-08-04,14:45:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-13,3:50:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-07-10,3:19:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 2
2020-06-19,14:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-06-30,20:25:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-01-15,4:55:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-06-26,11:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-03-05,14:47:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 2
2020-08-17,13:25:00,BOROUGH 5,1,0,1,0,VEHOCLE TYPE 1
2020-05-20,15:53:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-04-30,12:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-07-26,16:20:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-08-08,22:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-14,17:20:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-02-27,15:30:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-06-20,7:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 5
2020-06-04,15:30:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 1
2020-01-02,20:40:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-04,11:20:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-02-23,10:15:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 2
2020-05-11,9:45:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-02-04,11:30:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 4
2020-02-08,13:27:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-02-15,8:29:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-21,18:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 2
2020-02-02,16:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-07,6:50:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 3
2020-02-27,17:15:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 1
2020-05-10,8:00:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 4
2020-03-16,0:05:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 1
2020-03-06,17:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-05-19,19:00:00,BOROUGH 2,3,0,3,0,VEHOCLE TYPE 2
2020-01-09,16:30:00,BOROUGH 3,2,0,2,0,VEHOCLE TYPE 1
2020-07-16,20:22:00,BOROUGH 3,2,0,2,0,VEHOCLE TYPE 1
2020-07-19,3:45:00,BOROUGH 4,1,0,1,0,VEHOCLE TYPE 4
2020-01-24,19:50:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-01-03,17:21:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 6
2020-05-08,8:26:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 4
2020-01-04,20:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-05-23,16:35:00,BOROUGH 4,1,0,0,0,VEHOCLE TYPE 4
2020-08-23,17:45:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-03-07,13:25:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 2
2020-02-26,21:36:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-07-06,21:55:00,BOROUGH 4,2,0,2,0,VEHOCLE TYPE 1
2020-02-07,8:51:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-02-12,11:20:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-05-12,16:15:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-01-15,11:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-04-14,12:10:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-18,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-08-07,4:53:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-05-09,18:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-01-27,7:53:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-04-14,13:29:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 4
2020-03-21,15:40:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 2
2020-02-03,1:37:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-31,10:05:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 7
2020-01-11,17:31:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-07-14,19:04:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 5
2020-02-21,7:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-24,8:18:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-05-17,13:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-16,14:17:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-15,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-05-25,7:00:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-05-27,16:04:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-02-20,0:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 3
2020-01-12,20:24:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-06-22,8:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-07,10:50:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 11
2020-08-10,21:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-08-02,0:10:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-24,22:30:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 1
2020-07-03,22:27:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-22,23:50:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-11,17:32:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 11
2020-02-17,21:11:00,BOROUGH 5,2,0,2,0,VEHOCLE TYPE 4
2020-01-19,12:22:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-06-04,16:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-11,9:55:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-06-18,14:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-08-16,9:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-05-06,16:50:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-06-03,12:26:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-07-18,2:39:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-08-15,22:27:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-04-01,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-02-03,14:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 2
2020-08-08,16:49:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-01-22,14:32:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-29,20:06:00,BOROUGH 4,1,0,0,0,VEHOCLE TYPE 6
2020-06-10,13:54:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-08-16,14:40:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-11,14:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-02-10,19:56:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 10
2020-01-30,17:36:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-05-20,12:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-07-23,22:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-08-27,14:15:00,BOROUGH 4,2,0,2,0,VEHOCLE TYPE 1
2020-04-12,21:24:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 9
2020-06-14,17:08:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 4
2020-01-03,18:55:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-05,8:55:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 4
2020-06-18,16:41:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 7
2020-02-04,8:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-13,8:15:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 4
2020-01-01,4:54:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-06-19,16:05:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-06-08,17:45:00,BOROUGH 2,3,0,3,0,VEHOCLE TYPE 4
2020-07-14,18:03:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-03-17,7:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-01,0:15:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-04-25,20:05:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-02-15,17:36:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-07-21,14:50:00,BOROUGH 2,2,0,2,0,VEHOCLE TYPE 1
2020-03-16,12:50:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-07-19,21:55:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 1
2020-07-16,17:43:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 4
2020-01-09,9:14:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-04-02,13:20:00,BOROUGH 3,1,0,0,0,
2020-01-17,14:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-08-22,21:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-01-27,9:14:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 2
2020-02-27,14:24:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-28,14:39:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 13
2020-01-28,6:00:00,BOROUGH 2,2,0,2,0,VEHOCLE TYPE 4
2020-02-18,9:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-24,16:55:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 7
2020-02-17,12:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-04-16,17:22:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-07-28,10:33:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 1
2020-05-22,10:05:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-20,14:25:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-06-13,11:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-03-19,19:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-05-16,3:40:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 3
2020-02-26,14:44:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-01-17,18:48:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 11
2020-02-25,9:42:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-01-05,14:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-03-17,11:05:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-06-13,13:12:00,BOROUGH 4,1,0,0,0,VEHOCLE TYPE 4
2020-06-20,0:12:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-06-10,23:48:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-08-19,20:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-07-24,14:45:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-10,8:35:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 4
2020-05-01,13:20:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-08-02,14:36:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 1
2020-01-31,8:20:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 11
2020-01-21,11:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-07-02,19:45:00,BOROUGH 2,2,0,2,0,VEHOCLE TYPE 1
2020-05-21,17:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-06-03,0:10:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 5
2020-07-16,22:07:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-02-17,12:20:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 4
2020-04-26,2:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-07-16,15:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-06-19,18:35:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-06-24,15:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 11
2020-03-17,20:13:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-03-06,12:10:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-04-04,21:25:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-01-25,15:49:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-22,13:16:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 7
2020-01-24,15:01:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-03-11,22:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-03-30,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-04-07,18:45:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 1
2020-07-29,16:42:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 4
2020-07-19,9:03:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-02-24,13:30:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 2
2020-02-21,12:33:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 2
2020-08-04,13:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 4
2020-03-10,20:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-05-06,13:14:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-03,7:17:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 1
2020-07-25,19:58:00,BOROUGH 3,3,0,3,0,VEHOCLE TYPE 4
2020-03-03,13:39:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-03-04,4:20:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-07-03,12:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-03-03,0:00:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 4
2020-05-30,14:40:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-09,9:20:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-01-03,18:15:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-04-14,18:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-13,17:55:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-02-27,8:35:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-07-14,14:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-08-27,22:05:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-06-07,19:18:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-07-08,15:57:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-07-17,23:30:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-08-19,14:05:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 4
2020-05-02,14:47:00,BOROUGH 4,1,0,0,0,VEHOCLE TYPE 2
2020-01-19,7:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-07-12,9:30:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-01-21,20:46:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 4
2020-03-22,10:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-02-11,15:45:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 11
2020-01-20,11:35:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-07-17,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-07-23,21:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-04-16,21:23:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-07-13,12:10:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-06-06,20:40:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-04-03,12:20:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-01-06,6:26:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 4
2020-02-23,2:20:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-05-13,16:25:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-02-24,19:56:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-04-10,16:20:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-07-23,22:10:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-10,11:15:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-03-19,17:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-07-02,11:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-05-31,2:34:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-08-08,9:20:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-02-09,18:23:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-02-14,10:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-02-11,0:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-02-06,5:40:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 12
2020-03-02,12:25:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 6
2020-03-16,13:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-02-27,17:05:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-30,12:42:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-01-04,7:20:00,BOROUGH 3,2,0,2,0,VEHOCLE TYPE 1
2020-01-06,19:20:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-07-27,17:05:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-05-03,22:36:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 1
2020-07-25,15:15:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-02-18,12:15:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 14
2020-07-28,11:11:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 1
2020-05-10,13:15:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 1
2020-03-18,15:41:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-06-30,11:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 15
2020-07-22,10:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-08-20,22:34:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-08-26,8:50:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 4
2020-02-13,0:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-05-01,7:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-05,11:10:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 4
2020-07-24,10:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-08-09,20:16:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-01-06,8:00:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-05-17,14:32:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-02-26,13:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-02-14,0:50:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 7
2020-04-18,0:20:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-02,7:50:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 11
2020-05-18,20:45:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-07-15,18:05:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-06-09,13:45:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-03-20,16:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-06-26,15:50:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-09,12:28:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 11
2020-08-13,16:10:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 1
2020-01-21,11:26:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 4
2020-01-03,13:00:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 10
2020-06-18,22:53:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 1
2020-02-21,16:27:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 4
2020-04-20,20:03:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-01-15,10:50:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-03-06,15:10:00,BOROUGH 1,2,0,2,0,VEHOCLE TYPE 1
2020-07-21,20:07:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-05-29,12:00:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 1
2020-07-16,9:20:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-08-28,20:54:00,BOROUGH 4,1,0,1,0,VEHOCLE TYPE 1
2020-05-05,5:25:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 4
2020-05-08,8:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 7
2020-03-02,12:10:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 12
2020-05-20,21:08:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-09,8:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-06-12,9:33:00,BOROUGH 4,1,0,0,0,VEHOCLE TYPE 1
2020-08-06,12:53:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 8
2020-03-17,20:00:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 4
2020-01-28,14:25:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-04-06,16:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 3
2020-07-10,7:10:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-05-18,15:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-08-06,7:18:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-07-29,17:25:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-06-08,14:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-08-09,6:44:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-07-24,15:15:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-06,19:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-22,7:10:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-08-07,2:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-05-30,17:21:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 4
2020-07-16,16:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 16
2020-01-28,20:05:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-03-25,20:55:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 1
2020-02-18,9:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 7
2020-01-12,3:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-01,14:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-07,16:15:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-07-28,14:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
